# Constructed from biom file
#OTU ID	recip.220.WT.OB1.D7	recip.290.ASO.OB2.D1	recip.389.WT.HC2.D21	recip.391.ASO.PD2.D14	recip.391.ASO.PD2.D21	recip.391.ASO.PD2.D7	recip.400.ASO.HC2.D14	recip.401.ASO.HC2.D7	recip.403.ASO.PD2.D21	recip.411.ASO.HC2.D14	recip.411.ASO.HC2.D21	recip.411.ASO.HC2.D49	recip.412.ASO.HC2.D14	recip.412.ASO.HC2.D7	recip.413.WT.HC2.D7	recip.456.ASO.HC3.D49	recip.458.ASO.HC3.D21	recip.458.ASO.HC3.D49	recip.459.WT.HC3.D14	recip.459.WT.HC3.D21	recip.459.WT.HC3.D49	recip.460.WT.HC3.D14	recip.460.WT.HC3.D21	recip.460.WT.HC3.D7	recip.461.ASO.HC3.D21	recip.461.ASO.HC3.D49	recip.461.ASO.HC3.D7	recip.462.WT.PD3.D14	recip.462.WT.PD3.D21	recip.462.WT.PD3.D49	recip.462.WT.PD3.D7	recip.463.WT.PD3.D14	recip.463.WT.PD3.D21	recip.463.WT.PD3.D7	recip.464.WT.PD3.D14	recip.465.ASO.PD3.D14	recip.465.ASO.PD3.D7	recip.466.ASO.PD3.D7	recip.467.WT.HC3.D49.a	recip.467.WT.HC3.D49.b	recip.536.ASO.PD4.D49	recip.537.WT.PD4.D21	recip.538.WT.PD4.D21	recip.539.ASO.PD4.D14	recip.539.ASO.PD4.D7	recip.540.ASO.HC4.D14	recip.540.ASO.HC4.D7
3128e057b1d4f320961e4da677724613	20.0	27.0	73.0	22.0	59.0	13.0	13.0	47.0	13.0	40.0	72.0	42.0	24.0	26.0	25.0	17.0	28.0	20.0	58.0	50.0	49.0	9.0	11.0	25.0	14.0	26.0	46.0	25.0	52.0	72.0	13.0	33.0	33.0	76.0	40.0	30.0	103.0	29.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
993ea35e8ad7ff6894e32247dc507e9b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	28.0	0.0	57.0	0.0	0.0	13.0	0.0	152.0	0.0	21.0	65.0	196.0	23.0	132.0	50.0	83.0	94.0	39.0	0.0	18.0	60.0	22.0	24.0	51.0	155.0	73.0	76.0
a167e4d4418792dcaba877443ed0e66d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0	0.0	83.0	0.0	12.0	0.0	114.0	97.0	0.0	27.0	154.0	56.0	20.0	30.0	7.0	5.0	139.0	18.0	16.0	10.0	0.0	95.0	137.0	118.0	7.0	11.0	13.0	12.0	13.0
cae14798faeabb8e1b8840e712839921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	83.0	0.0	83.0	0.0	28.0	0.0	47.0	28.0	18.0	62.0	30.0	35.0	75.0	40.0	29.0	125.0	47.0	80.0	37.0	24.0	0.0	38.0	15.0	44.0	12.0	73.0	93.0	20.0	44.0
0189d0173c07f11e7586ff20eb33f5ba	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	0.0	42.0	0.0	64.0	0.0	38.0	13.0	0.0	58.0	35.0	35.0	148.0	48.0	12.0	125.0	61.0	19.0	120.0	30.0	0.0	51.0	26.0	10.0	13.0	16.0	74.0	39.0	82.0
ff88a3ff3ed651f80384b3440acb21d5	0.0	0.0	14.0	187.0	96.0	2.0	276.0	4.0	4.0	87.0	71.0	0.0	104.0	0.0	6.0	35.0	120.0	9.0	0.0	71.0	0.0	19.0	0.0	8.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
71eefb0527438cc9f3a3e91dccd3caa8	0.0	57.0	58.0	65.0	56.0	15.0	52.0	29.0	66.0	69.0	81.0	0.0	53.0	47.0	88.0	71.0	117.0	0.0	0.0	0.0	0.0	48.0	0.0	96.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
54f7ee881a58ad84fe3f81d76968b072	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.0	0.0	147.0	30.0	0.0	76.0	10.0	0.0	19.0	126.0	57.0	12.0	13.0	9.0	37.0	0.0	0.0	24.0	15.0	163.0	6.0	192.0	56.0	14.0	0.0
ed5952d1e022067b212146b9b3bc6812	19.0	0.0	13.0	107.0	23.0	9.0	58.0	0.0	6.0	44.0	18.0	252.0	32.0	15.0	61.0	102.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	309.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
370829fece3190f1a8efccf50b7d0921	27.0	39.0	0.0	27.0	57.0	0.0	25.0	10.0	6.0	40.0	75.0	74.0	104.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	15.0	0.0	30.0	0.0	70.0	0.0	0.0	30.0	39.0	24.0	31.0	36.0	24.0	28.0	15.0	0.0	28.0	0.0	43.0	44.0	12.0	12.0	0.0	17.0	0.0	20.0	28.0
